SourceName,DateAccessed,ParentLocation,Location,Period,Dim1,FactValueNumeric
WHO,10/17/2023 10:01,Africa,Cabo Verde,2010,Male,70.83
WHO,10/17/2023 10:01,Africa,Cabo Verde,2010,Female,77.27
WHO,10/17/2023 10:01,Africa,Cabo Verde,2000,Both sexes,70.97
WHO,10/17/2023 10:01,Africa,Cabo Verde,2000,Male,66.89
WHO,10/17/2023 10:01,Africa,Cabo Verde,2000,Female,74.61
WHO,10/17/2023 10:01,Africa,Algeria,2019,Both sexes,77.13
WHO,10/17/2023 10:01,Africa,Algeria,2019,Male,76.23
WHO,10/17/2023 10:01,Africa,Algeria,2019,Female,78.12
WHO,10/17/2023 10:01,Africa,Algeria,2015,Both sexes,76.54
WHO,10/17/2023 10:01,Africa,Algeria,2015,Male,75.65
WHO,10/17/2023 10:01,Africa,Algeria,2015,Female,77.5
WHO,10/17/2023 10:01,Africa,Algeria,2010,Both sexes,75.85
WHO,10/17/2023 10:01,Africa,Algeria,2010,Male,74.95
WHO,10/17/2023 10:01,Africa,Algeria,2010,Female,76.79
WHO,10/17/2023 10:01,Africa,Algeria,2000,Both sexes,72.21
WHO,10/17/2023 10:01,Africa,Algeria,2000,Male,70.94
WHO,10/17/2023 10:01,Africa,Algeria,2000,Female,73.54
WHO,10/17/2023 10:01,Africa,Eritrea,2019,Both sexes,64.08
WHO,10/17/2023 10:01,Africa,Eritrea,2019,Male,61.3
WHO,10/17/2023 10:01,Africa,Eritrea,2019,Female,67.07
WHO,10/17/2023 10:01,Africa,Eritrea,2015,Both sexes,62.29
WHO,10/17/2023 10:01,Africa,Eritrea,2015,Male,59.4
WHO,10/17/2023 10:01,Africa,Eritrea,2015,Female,65.45
WHO,10/17/2023 10:01,Africa,Eritrea,2010,Both sexes,60.7
WHO,10/17/2023 10:01,Africa,Eritrea,2010,Male,57.78
WHO,10/17/2023 10:01,Africa,Eritrea,2010,Female,63.97
WHO,10/17/2023 10:01,Africa,Eritrea,2000,Both sexes,54.51
WHO,10/17/2023 10:01,Africa,Eritrea,2000,Male,51.16
WHO,10/17/2023 10:01,Africa,Eritrea,2000,Female,58.48
WHO,10/17/2023 10:01,Africa,Ethiopia,2019,Both sexes,68.7
WHO,10/17/2023 10:01,Africa,Ethiopia,2019,Male,66.9
WHO,10/17/2023 10:01,Africa,Ethiopia,2019,Female,70.52
WHO,10/17/2023 10:01,Africa,Ethiopia,2015,Both sexes,66.82
WHO,10/17/2023 10:01,Africa,Ethiopia,2015,Male,65.04
WHO,10/17/2023 10:01,Africa,Ethiopia,2015,Female,68.64
WHO,10/17/2023 10:01,Africa,Ethiopia,2010,Both sexes,62.92
WHO,10/17/2023 10:01,Africa,Ethiopia,2010,Male,61.33
WHO,10/17/2023 10:01,Africa,Ethiopia,2010,Female,64.55
WHO,10/17/2023 10:01,Africa,Ethiopia,2000,Both sexes,50.58
WHO,10/17/2023 10:01,Africa,Ethiopia,2000,Male,49.52
WHO,10/17/2023 10:01,Africa,Ethiopia,2000,Female,51.7
WHO,10/17/2023 10:01,Africa,Gabon,2019,Both sexes,66.47
WHO,10/17/2023 10:01,Africa,Gabon,2019,Male,63.59
WHO,10/17/2023 10:01,Africa,Gabon,2019,Female,69.73
WHO,10/17/2023 10:01,Africa,Gabon,2015,Both sexes,64.93
WHO,10/17/2023 10:01,Africa,Gabon,2015,Male,62.11
WHO,10/17/2023 10:01,Africa,Gabon,2015,Female,68.09
WHO,10/17/2023 10:01,Africa,Gabon,2010,Both sexes,62.16
WHO,10/17/2023 10:01,Africa,Gabon,2010,Male,60.12
WHO,10/17/2023 10:01,Africa,Gabon,2010,Female,64.25
WHO,10/17/2023 10:01,Africa,Gabon,2000,Both sexes,58.1
WHO,10/17/2023 10:01,Africa,Gabon,2000,Male,56.15
WHO,10/17/2023 10:01,Africa,Gabon,2000,Female,60.1
WHO,10/17/2023 10:01,Africa,Ghana,2019,Both sexes,66.28
WHO,10/17/2023 10:01,Africa,Ghana,2019,Male,63.66
WHO,10/17/2023 10:01,Africa,Ghana,2019,Female,69.16
WHO,10/17/2023 10:01,Africa,Ghana,2015,Both sexes,64.55
WHO,10/17/2023 10:01,Africa,Ghana,2015,Male,61.97
WHO,10/17/2023 10:01,Africa,Ghana,2015,Female,67.41
WHO,10/17/2023 10:01,Africa,Ghana,2010,Both sexes,62
WHO,10/17/2023 10:01,Africa,Ghana,2010,Male,59.7
WHO,10/17/2023 10:01,Africa,Ghana,2010,Female,64.53
WHO,10/17/2023 10:01,Africa,Ghana,2000,Both sexes,59.24
WHO,10/17/2023 10:01,Africa,Ghana,2000,Male,57.75
WHO,10/17/2023 10:01,Africa,Ghana,2000,Female,60.8
WHO,10/17/2023 10:01,Africa,Guinea,2019,Both sexes,61.01
WHO,10/17/2023 10:01,Africa,Guinea,2019,Male,59.48
WHO,10/17/2023 10:01,Africa,Guinea,2019,Female,62.25
WHO,10/17/2023 10:01,Africa,Guinea,2015,Both sexes,58.81
WHO,10/17/2023 10:01,Africa,Guinea,2015,Male,57.28
WHO,10/17/2023 10:01,Africa,Guinea,2015,Female,60.07
WHO,10/17/2023 10:01,Africa,Guinea,2010,Both sexes,58.07
WHO,10/17/2023 10:01,Africa,Guinea,2010,Male,56.65
WHO,10/17/2023 10:01,Africa,Guinea,2010,Female,59.26
WHO,10/17/2023 10:01,Africa,Guinea,2000,Both sexes,54.26
WHO,10/17/2023 10:01,Africa,Guinea,2000,Male,53.1
